date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
02:10:52	116/116	---MCZ	-1	error ('Open%20error%20when%20decompressing%20(can%20not%20create%20temporary%20file%20/tmp0.z)')	text/html	date:Wed,%2010%20May%202023%2005:10:51%20GMT	https://templates.envytheme.com/robots.txt		(from )
02:10:52	51686/51686	---MCZ	200	added ('OK')	text/html	date:Thu,%2028%20Apr%202022%2007:32:56%20GMT	https://templates.envytheme.com/sparsity/default/	templates.envytheme.com/sparsity/default/index.html	(from )
02:10:54	163826/163826	---MCZ	200	added ('OK')	text/css	etag:W/%22626a4331-27ff2%22	https://templates.envytheme.com/sparsity/default/assets/css/bootstrap.min.css	templates.envytheme.com/sparsity/default/assets/css/bootstrap.min.css	(from https://templates.envytheme.com/sparsity/default/)
02:10:56	71750/71750	---MCZ	200	added ('OK')	text/css	etag:W/%22626a4331-11846%22	https://templates.envytheme.com/sparsity/default/assets/css/animate.min.css	templates.envytheme.com/sparsity/default/assets/css/animate.min.css	(from https://templates.envytheme.com/sparsity/default/)
02:10:58	100788/100788	---MCZ	200	added ('OK')	text/css	etag:W/%22626a4332-189b4%22	https://templates.envytheme.com/sparsity/default/assets/css/fontawesome.min.css	templates.envytheme.com/sparsity/default/assets/css/fontawesome.min.css	(from https://templates.envytheme.com/sparsity/default/)
02:10:59	5259/5259	---MCZ	200	added ('OK')	text/css	etag:W/%22626a4332-148b%22	https://templates.envytheme.com/sparsity/default/assets/css/magnific-popup.min.css	templates.envytheme.com/sparsity/default/assets/css/magnific-popup.min.css	(from https://templates.envytheme.com/sparsity/default/)
02:11:00	3357/3357	---MCZ	200	added ('OK')	text/css	etag:W/%22626a4333-d1d%22	https://templates.envytheme.com/sparsity/default/assets/css/owl.carousel.min.css	templates.envytheme.com/sparsity/default/assets/css/owl.carousel.min.css	(from https://templates.envytheme.com/sparsity/default/)
02:11:02	1019/1019	---MCZ	200	added ('OK')	text/css	etag:W/%22626a4333-3fb%22	https://templates.envytheme.com/sparsity/default/assets/css/owl.theme.default.min.css	templates.envytheme.com/sparsity/default/assets/css/owl.theme.default.min.css	(from https://templates.envytheme.com/sparsity/default/)
02:11:03	3274/3274	---MCZ	200	added ('OK')	text/css	etag:W/%22626a4332-cca%22	https://templates.envytheme.com/sparsity/default/assets/css/odometer.min.css	templates.envytheme.com/sparsity/default/assets/css/odometer.min.css	(from https://templates.envytheme.com/sparsity/default/)
02:11:05	3076/3076	---MCZ	200	added ('OK')	text/css	etag:W/%22626a4332-c04%22	https://templates.envytheme.com/sparsity/default/assets/css/nice-select.min.css	templates.envytheme.com/sparsity/default/assets/css/nice-select.min.css	(from https://templates.envytheme.com/sparsity/default/)
02:11:06	2191/2191	---MCZ	200	added ('OK')	text/css	etag:W/%22626a4332-88f%22	https://templates.envytheme.com/sparsity/default/assets/css/flaticon.css	templates.envytheme.com/sparsity/default/assets/css/flaticon.css	(from https://templates.envytheme.com/sparsity/default/)
02:11:08	2370/2370	---MCZ	200	added ('OK')	text/css	etag:W/%22626a4332-942%22	https://templates.envytheme.com/sparsity/default/assets/css/meanmenu.min.css	templates.envytheme.com/sparsity/default/assets/css/meanmenu.min.css	(from https://templates.envytheme.com/sparsity/default/)
02:11:10	245180/245180	---MCZ	200	added ('OK')	text/css	etag:W/%22626a4333-3bdbc%22	https://templates.envytheme.com/sparsity/default/assets/css/style.css	templates.envytheme.com/sparsity/default/assets/css/style.css	(from https://templates.envytheme.com/sparsity/default/)
02:11:11	61293/61293	---MCZ	200	added ('OK')	text/css	etag:W/%22626a4333-ef6d%22	https://templates.envytheme.com/sparsity/default/assets/css/responsive.css	templates.envytheme.com/sparsity/default/assets/css/responsive.css	(from https://templates.envytheme.com/sparsity/default/)
02:11:13	1160/1160	---M--	200	added ('OK')	image/png	etag:%22626a4338-488%22	https://templates.envytheme.com/sparsity/default/assets/img/favicon.png	templates.envytheme.com/sparsity/default/assets/img/favicon.png	(from https://templates.envytheme.com/sparsity/default/)
02:11:14	51686/51686	---MCZ	200	added ('OK')	text/html	date:Thu,%2028%20Apr%202022%2007:32:56%20GMT	https://templates.envytheme.com/sparsity/default/index.html	templates.envytheme.com/sparsity/default/index-2.html	(from https://templates.envytheme.com/sparsity/default/)
02:11:16	2674/2674	---M--	200	added ('OK')	image/png	etag:%22626a433c-a72%22	https://templates.envytheme.com/sparsity/default/assets/img/white-logo.png	templates.envytheme.com/sparsity/default/assets/img/white-logo.png	(from https://templates.envytheme.com/sparsity/default/)
02:11:17	2737/2737	---M--	200	added ('OK')	image/png	etag:%22626a4337-ab1%22	https://templates.envytheme.com/sparsity/default/assets/img/black-logo.png	templates.envytheme.com/sparsity/default/assets/img/black-logo.png	(from https://templates.envytheme.com/sparsity/default/)
02:11:18	62030/62030	---MCZ	200	added ('OK')	text/html	date:Thu,%2028%20Apr%202022%2007:32:55%20GMT	https://templates.envytheme.com/sparsity/default/index-2.html	templates.envytheme.com/sparsity/default/index-3.html	(from https://templates.envytheme.com/sparsity/default/)
02:11:18	60945/60945	---MCZ	200	added ('OK')	text/html	date:Thu,%2028%20Apr%202022%2007:32:55%20GMT	https://templates.envytheme.com/sparsity/default/index-3.html	templates.envytheme.com/sparsity/default/index-4.html	(from https://templates.envytheme.com/sparsity/default/)
02:11:20	50307/50307	---MCZ	200	added ('OK')	text/html	date:Thu,%2028%20Apr%202022%2007:32:55%20GMT	https://templates.envytheme.com/sparsity/default/index-4.html	templates.envytheme.com/sparsity/default/index-5.html	(from https://templates.envytheme.com/sparsity/default/)
02:11:21	44888/44888	---MCZ	200	added ('OK')	text/html	date:Thu,%2028%20Apr%202022%2007:32:56%20GMT	https://templates.envytheme.com/sparsity/default/index-5.html	templates.envytheme.com/sparsity/default/index-6.html	(from https://templates.envytheme.com/sparsity/default/)
02:11:22	46942/46942	---MCZ	200	added ('OK')	text/html	date:Thu,%2028%20Apr%202022%2007:32:56%20GMT	https://templates.envytheme.com/sparsity/default/index-6.html	templates.envytheme.com/sparsity/default/index-7.html	(from https://templates.envytheme.com/sparsity/default/)
02:11:23	50178/50178	---MCZ	200	added ('OK')	text/html	date:Thu,%2028%20Apr%202022%2007:32:56%20GMT	https://templates.envytheme.com/sparsity/default/index-7.html	templates.envytheme.com/sparsity/default/index-8.html	(from https://templates.envytheme.com/sparsity/default/)
02:11:24	51056/51056	---MCZ	200	added ('OK')	text/html	date:Thu,%2028%20Apr%202022%2007:32:56%20GMT	https://templates.envytheme.com/sparsity/default/index-8.html	templates.envytheme.com/sparsity/default/index-9.html	(from https://templates.envytheme.com/sparsity/default/)
02:11:25	48550/48550	---MCZ	200	added ('OK')	text/html	date:Thu,%2028%20Apr%202022%2007:32:53%20GMT	https://templates.envytheme.com/sparsity/default/about-1.html	templates.envytheme.com/sparsity/default/about-1.html	(from https://templates.envytheme.com/sparsity/default/)
02:11:26	32636/32636	---MCZ	200	added ('OK')	text/html	date:Thu,%2028%20Apr%202022%2007:32:53%20GMT	https://templates.envytheme.com/sparsity/default/about-2.html	templates.envytheme.com/sparsity/default/about-2.html	(from https://templates.envytheme.com/sparsity/default/)
02:11:27	24293/24293	---MCZ	200	added ('OK')	text/html	date:Thu,%2028%20Apr%202022%2007:32:58%20GMT	https://templates.envytheme.com/sparsity/default/team.html	templates.envytheme.com/sparsity/default/team.html	(from https://templates.envytheme.com/sparsity/default/)
02:11:28	53024/53024	---MCZ	200	added ('OK')	text/html	date:Thu,%2028%20Apr%202022%2007:32:57%20GMT	https://templates.envytheme.com/sparsity/default/pricing.html	templates.envytheme.com/sparsity/default/pricing.html	(from https://templates.envytheme.com/sparsity/default/)
02:11:29	26431/26431	---MCZ	200	added ('OK')	text/html	date:Thu,%2028%20Apr%202022%2007:32:55%20GMT	https://templates.envytheme.com/sparsity/default/feedback.html	templates.envytheme.com/sparsity/default/feedback.html	(from https://templates.envytheme.com/sparsity/default/)
02:11:30	21829/21829	---MCZ	200	added ('OK')	text/html	date:Thu,%2028%20Apr%202022%2007:32:56%20GMT	https://templates.envytheme.com/sparsity/default/partner.html	templates.envytheme.com/sparsity/default/partner.html	(from https://templates.envytheme.com/sparsity/default/)
02:11:31	3125/3125	---MCZ	200	added ('OK')	text/html	date:Thu,%2028%20Apr%202022%2007:32:55%20GMT	https://templates.envytheme.com/sparsity/default/error-404.html	templates.envytheme.com/sparsity/default/error-404.html	(from https://templates.envytheme.com/sparsity/default/)
02:11:32	5514/5514	---MCZ	200	added ('OK')	text/html	date:Thu,%2028%20Apr%202022%2007:32:54%20GMT	https://templates.envytheme.com/sparsity/default/coming-soon.html	templates.envytheme.com/sparsity/default/coming-soon.html	(from https://templates.envytheme.com/sparsity/default/)
02:11:33	27880/27880	---MCZ	200	added ('OK')	text/html	date:Thu,%2028%20Apr%202022%2007:32:55%20GMT	https://templates.envytheme.com/sparsity/default/faq.html	templates.envytheme.com/sparsity/default/faq.html	(from https://templates.envytheme.com/sparsity/default/)
02:11:34	21809/21809	---MCZ	200	added ('OK')	text/html	date:Thu,%2028%20Apr%202022%2007:32:57%20GMT	https://templates.envytheme.com/sparsity/default/services-1.html	templates.envytheme.com/sparsity/default/services-1.html	(from https://templates.envytheme.com/sparsity/default/)
02:11:35	24055/24055	---MCZ	200	added ('OK')	text/html	date:Thu,%2028%20Apr%202022%2007:32:57%20GMT	https://templates.envytheme.com/sparsity/default/services-2.html	templates.envytheme.com/sparsity/default/services-2.html	(from https://templates.envytheme.com/sparsity/default/)
02:11:36	22510/22510	---MCZ	200	added ('OK')	text/html	date:Thu,%2028%20Apr%202022%2007:32:57%20GMT	https://templates.envytheme.com/sparsity/default/services-3.html	templates.envytheme.com/sparsity/default/services-3.html	(from https://templates.envytheme.com/sparsity/default/)
02:11:37	21910/21910	---MCZ	200	added ('OK')	text/html	date:Thu,%2028%20Apr%202022%2007:32:57%20GMT	https://templates.envytheme.com/sparsity/default/services-4.html	templates.envytheme.com/sparsity/default/services-4.html	(from https://templates.envytheme.com/sparsity/default/)
02:11:38	20907/20907	---MCZ	200	added ('OK')	text/html	date:Thu,%2028%20Apr%202022%2007:32:58%20GMT	https://templates.envytheme.com/sparsity/default/single-services.html	templates.envytheme.com/sparsity/default/single-services.html	(from https://templates.envytheme.com/sparsity/default/)
02:11:39	21117/21117	---MCZ	200	added ('OK')	text/html	date:Thu,%2028%20Apr%202022%2007:32:57%20GMT	https://templates.envytheme.com/sparsity/default/projects.html	templates.envytheme.com/sparsity/default/projects.html	(from https://templates.envytheme.com/sparsity/default/)
02:11:40	20617/20617	---MCZ	200	added ('OK')	text/html	date:Thu,%2028%20Apr%202022%2007:32:58%20GMT	https://templates.envytheme.com/sparsity/default/single-projects.html	templates.envytheme.com/sparsity/default/single-projects.html	(from https://templates.envytheme.com/sparsity/default/)
02:11:41	27545/27545	---MCZ	200	added ('OK')	text/html	date:Thu,%2028%20Apr%202022%2007:32:58%20GMT	https://templates.envytheme.com/sparsity/default/shop.html	templates.envytheme.com/sparsity/default/shop.html	(from https://templates.envytheme.com/sparsity/default/)
02:11:42	38614/38614	---MCZ	200	added ('OK')	text/html	date:Thu,%2028%20Apr%202022%2007:32:58%20GMT	https://templates.envytheme.com/sparsity/default/single-product.html	templates.envytheme.com/sparsity/default/single-product.html	(from https://templates.envytheme.com/sparsity/default/)
02:11:43	26273/26273	---MCZ	200	added ('OK')	text/html	date:Thu,%2028%20Apr%202022%2007:32:54%20GMT	https://templates.envytheme.com/sparsity/default/cart.html	templates.envytheme.com/sparsity/default/cart.html	(from https://templates.envytheme.com/sparsity/default/)
02:11:44	29948/29948	---MCZ	200	added ('OK')	text/html	date:Thu,%2028%20Apr%202022%2007:32:54%20GMT	https://templates.envytheme.com/sparsity/default/checkout.html	templates.envytheme.com/sparsity/default/checkout.html	(from https://templates.envytheme.com/sparsity/default/)
